epoch_loss,train_acc,test_acc,epoch_time,avg_cpu_usage,avg_gpu_usage,avg_gpu_mem
0.9550023749470711,52.1,65.8,198.09287428855896,22.1,42.0,725.0
3.102973736822605,52.2,52.2,188.80186200141907,25.5,100.0,7847.0
2.1663102209568024,50.45,53.8,186.68182349205017,24.2,100.0,7793.0
0.7081091925501823,50.85,52.2,191.8932399749756,22.8,100.0,7787.0
0.6825434267520905,54.45,59.8,160.46686363220215,25.8,100.0,7851.0
0.6930555924773216,61.9,73.4,174.09758186340332,24.5,100.0,7795.0
0.6014523878693581,69.95,65.4,186.8915355205536,23.7,100.0,7783.0
0.6080708876252174,66.4,77.0,183.70975947380066,25.0,100.0,7781.0
0.5989523828029633,67.5,68.0,187.99086618423462,24.1,100.0,7767.0
0.5833709090948105,69.2,73.4,187.42131233215332,23.8,100.0,7767.0
0.5298250317573547,74.0,76.6,188.963317155838,25.3,100.0,7797.0
0.5419166311621666,73.05,77.2,197.11557030677795,21.1,100.0,7797.0
0.5082880444824696,74.5,79.6,201.617520570755,22.0,100.0,7797.0
0.4978143349289894,76.95,82.4,199.8626630306244,20.8,100.0,7815.0
0.5063141286373138,75.65,70.4,197.52130556106567,21.5,100.0,7797.0
0.5404825769364834,72.95,79.2,194.0322413444519,20.9,100.0,7797.0
0.5082865878939629,75.85,83.0,197.1602144241333,20.2,100.0,7797.0
0.5173301063477993,75.45,83.6,196.31602478027344,20.2,100.0,7797.0
0.4612417630851269,77.4,77.0,199.51923847198486,20.6,100.0,7797.0
0.4494248814880848,78.85,81.8,200.64715027809143,20.2,100.0,7797.0
0.41518956050276756,79.9,85.4,196.25989818572998,20.6,100.0,7797.0
0.44173650443553925,79.75,77.0,195.11246824264526,20.4,100.0,7797.0
0.43062441051006317,80.65,83.4,199.44743180274963,21.3,100.0,7797.0
0.3927077203989029,82.1,85.4,194.84221124649048,21.3,100.0,7797.0
0.482243862003088,78.3,86.2,201.38782930374146,20.9,100.0,7797.0
0.44257814064621925,79.9,74.8,194.96304392814636,21.2,100.0,7797.0
0.4015553146600723,81.9,83.8,195.40765976905823,21.1,100.0,7797.0
0.38907739892601967,81.95,83.8,194.27960324287415,21.0,100.0,7797.0
0.3923826180398464,83.25,86.0,196.17014718055725,20.2,100.0,7797.0
0.36489567533135414,83.95,86.2,195.18980717658997,20.8,100.0,7797.0
0.38957732170820236,81.75,87.6,197.44370198249817,20.4,100.0,7797.0
0.3548446036875248,83.9,85.6,195.74177598953247,21.1,100.0,7797.0
0.3588821329176426,83.75,87.4,199.4891529083252,21.1,100.0,7797.0
0.34995317086577415,84.95,84.4,198.7583315372467,20.5,100.0,7797.0
0.3438122346997261,83.9,87.2,198.89355373382568,21.1,100.0,7797.0
0.347582571208477,85.1,86.4,195.69169640541077,19.9,100.0,7797.0
0.3281068280339241,85.25,85.8,186.25325918197632,20.8,100.0,7797.0
0.33133283630013466,85.4,86.8,196.40935969352722,20.7,100.0,7797.0
0.3408789299428463,85.8,86.0,199.57745051383972,20.8,100.0,7797.0
0.32124829664826393,86.5,86.0,199.98572158813477,20.9,100.0,7797.0
0.3220501281321049,86.3,88.0,199.2579116821289,20.9,100.0,7797.0
0.33958693593740463,85.15,88.2,196.7462294101715,20.7,100.0,7797.0
0.32579683884978294,85.05,87.0,199.22433876991272,20.4,100.0,7797.0
0.31711284816265106,86.35,85.6,195.39647340774536,20.9,100.0,7797.0
0.3147527351975441,86.75,88.2,197.77571606636047,19.8,100.0,7797.0
0.3186320438981056,86.55,86.4,200.45478296279907,21.4,100.0,7797.0
0.3137565441429615,87.1,88.0,200.23836541175842,20.6,100.0,7797.0
0.30789605528116226,86.3,88.0,196.33655309677124,21.0,100.0,7797.0
0.3059755899012089,86.15,87.4,198.37187480926514,20.5,100.0,7797.0
0.29803865775465965,87.25,87.4,193.88416862487793,20.3,100.0,7797.0
