K,train_time,test_time,train_acc,test_acc,top1_acc,top3_acc,top5_acc,cpu_usage,gpu_usage,ram_usage,inference_time,total_time
300,51.546875,28.917478799819946,0.775,0.764,0.764,1.0,1.0,22.580000000000002,0.0,50.519999999999996,37.032506465911865,77.80682349205017
500,64.546875,41.794492959976196,0.8005,0.77,0.77,1.0,1.0,19.9,0.0,51.04,33.907814025878906,77.80682349205017
