epoch_loss,train_acc,test_acc,epoch_time,avg_cpu_usage,avg_gpu_usage,avg_gpu_mem
2.308687853813171,17.52,24.1,131.49904942512512,20.7,19.0,411.0
2.2161044597625734,19.34,22.7,2.11385440826416,24.25,24.5,481.0
2.003240633010864,24.92,26.6,2.275231122970581,29.049999999999997,19.5,511.0
1.931223499774933,27.86,27.6,2.0480732917785645,30.1,15.5,509.0
1.8652445137500764,29.5,33.9,2.1439003944396973,31.4,12.5,509.0
1.8489034116268157,30.92,32.2,2.3782734870910645,30.35,18.5,509.0
1.8297892391681672,32.12,31.1,2.2566797733306885,27.2,21.0,509.0
1.7496772944927215,34.76,36.8,2.2533702850341797,29.95,46.0,509.0
1.721189284324646,35.68,39.3,2.285001516342163,29.65,2.5,509.0
1.7156713485717774,35.64,37.5,2.2129271030426025,29.05,27.5,509.0
1.7166419267654418,36.08,40.5,2.2610390186309814,28.65,17.0,509.0
1.6722467064857482,38.16,40.7,2.179910659790039,31.150000000000002,42.5,509.0
1.6067728102207184,39.56,40.9,2.1713719367980957,30.950000000000003,9.0,509.0
1.5835035920143128,40.6,41.7,2.3404200077056885,26.35,6.5,509.0
1.5699438333511353,42.56,45.1,2.298421859741211,27.85,21.5,509.0
1.5842844665050506,42.46,40.9,2.262427568435669,28.3,6.0,509.0
1.5411352813243866,42.08,44.7,2.305933952331543,26.450000000000003,29.5,509.0
1.5328460812568665,43.24,44.4,2.2624166011810303,27.8,14.0,509.0
1.5260266959667206,44.06,46.2,2.2652828693389893,28.65,39.0,509.0
1.4864851355552673,45.72,46.2,2.3455312252044678,27.950000000000003,34.0,509.0
1.4726211488246919,46.54,47.7,2.285090923309326,27.15,18.0,509.0
1.4263050138950348,47.96,48.8,2.3535070419311523,25.5,37.5,509.0
1.4520579397678375,47.62,44.4,2.273576259613037,30.55,25.0,509.0
1.4211366295814514,47.1,45.0,2.233207941055298,27.549999999999997,2.0,509.0
1.4011774897575378,49.2,45.5,2.2715835571289062,29.1,7.000000000000001,509.0
1.3998954832553863,49.5,49.8,2.2272722721099854,29.15,37.0,509.0
1.3765224158763885,51.0,49.1,2.254512310028076,28.15,27.0,509.0
1.3794123530387878,50.28,47.8,2.227470636367798,28.35,15.5,509.0
1.3167398810386657,51.8,50.9,2.3213424682617188,25.35,13.0,509.0
1.332865262031555,51.58,48.5,2.339097023010254,28.1,18.5,509.0
1.2405853629112245,55.0,52.5,2.2776694297790527,28.15,33.0,509.0
1.1566414892673493,57.36,55.2,2.2743499279022217,26.4,21.0,509.0
1.1219418704509736,58.54,54.7,2.32075572013855,25.4,40.0,509.0
1.1014770150184632,59.84,54.9,2.3487119674682617,26.8,28.5,509.0
1.0800544679164887,60.92,55.3,2.3234636783599854,27.5,14.000000000000002,509.0
1.0860665798187257,60.82,55.1,2.398149251937866,26.799999999999997,32.5,509.0
1.0708116352558137,60.94,56.0,2.3915061950683594,25.700000000000003,42.5,509.0
1.0771252244710923,61.52,56.8,2.361337661743164,27.0,15.5,509.0
1.0581561475992203,61.28,54.7,2.3590962886810303,26.1,12.0,509.0
1.0510292649269104,61.78,56.4,2.400561571121216,25.6,14.000000000000002,509.0
1.0548677146434784,61.1,54.7,2.280348777770996,25.200000000000003,27.5,509.0
1.0352724075317383,61.88,54.1,2.321352005004883,25.8,1.5,509.0
1.0295092821121217,62.74,55.4,2.3433806896209717,25.7,19.5,509.0
