K,Feature_Time,KMeans_Time,SVM_Train_Time,Total_Time,Train_Accuracy,Test_Accuracy,Confusion_Matrix,CPU_Time,RAM_MB
50,104.71640038490295,9.484375,0.125,4.651760101318359,0.838,0.8,"[[25  8]
 [ 8 39]]",9.609375,674.75
150,104.71640038490295,17.390625,0.1875,7.6198554039001465,0.892,0.8125,"[[28  5]
 [10 37]]",17.578125,678.140625
300,104.71640038490295,30.875,0.25,13.74356985092163,0.93,0.85,"[[27  6]
 [ 6 41]]",31.125,685.19921875
500,104.71640038490295,46.109375,0.3125,21.281965017318726,0.948,0.8,"[[27  6]
 [10 37]]",46.421875,691.5078125
800,104.71640038490295,65.453125,0.390625,32.1588077545166,0.98,0.825,"[[28  5]
 [ 9 38]]",65.84375,700.234375
