K,Train_Accuracy,Test_Accuracy,Training_Time,Confusion_Matrix
50,0.892,0.73,0.04359936714172363,"[[39 19]
 [ 8 34]]"
150,0.97,0.81,0.05991315841674805,"[[47 11]
 [ 8 34]]"
300,0.974,0.8,0.08571505546569824,"[[47 11]
 [ 9 33]]"
500,0.988,0.81,0.11167597770690918,"[[46 12]
 [ 7 35]]"
800,0.992,0.81,0.20670032501220703,"[[44 14]
 [ 5 37]]"
