type,value,accuracy,time
LR,0.001,19.0,71.65559792518616
LR,0.01,24.4,84.0195415019989
LR,0.1,43.6,104.68733239173889
LR,0.5,41.0,99.00994825363159
WD,0.0,44.6,103.72703075408936
WD,1e-05,45.800000000000004,83.2853524684906
WD,0.0005,44.800000000000004,73.12742710113525
WD,0.01,38.6,73.36056661605835
