epoch_loss,epoch_acc,epoch_time,avg_cpu_usage,avg_gpu_usage,avg_gpu_mem
2.296668291091919,12.85,2.3395471572875977,15.1,22.5,489.0
2.149427779018879,19.15,2.3152236938476562,14.6,39.0,489.0
1.9585990011692047,23.5,2.4102416038513184,12.05,31.0,489.0
1.8919154554605484,24.25,2.460911750793457,14.600000000000001,33.0,489.0
1.8430251628160477,26.15,2.301306962966919,13.5,40.0,489.0
1.8069153800606728,29.75,2.379896402359009,13.8,30.5,489.0
1.7643742561340332,31.25,2.4014203548431396,12.95,21.0,489.0
1.712447464466095,32.9,2.3689513206481934,16.65,25.0,489.0
1.7002811506390572,33.9,2.241311550140381,18.15,32.5,489.0
1.6731458902359009,34.85,2.39916729927063,12.65,31.0,489.0
1.6521067693829536,34.8,2.3704142570495605,14.7,25.0,489.0
1.640935592353344,36.55,2.318751096725464,14.350000000000001,20.0,489.0
1.5715277567505836,37.7,2.362638473510742,14.7,37.0,489.0
1.5540780499577522,39.75,2.374176263809204,13.45,27.5,489.0
1.5219619050621986,41.25,2.4492688179016113,15.1,41.0,489.0
1.5151477307081223,42.25,2.4500839710235596,14.15,21.0,489.0
1.4919199049472809,42.3,2.4413058757781982,13.7,28.5,489.0
1.4760589450597763,44.6,2.415217638015747,16.6,30.0,489.0
1.433039739727974,45.4,2.303271532058716,12.1,32.0,489.0
1.4296343922615051,45.5,2.3435113430023193,14.3,30.0,489.0
1.3997443839907646,45.6,2.415886402130127,14.0,26.0,489.0
1.3625079542398453,48.1,2.398425817489624,14.95,25.5,489.0
1.3562904223799706,48.6,2.445765733718872,14.65,37.0,489.0
1.3278668150305748,49.25,2.2769291400909424,13.1,39.5,489.0
1.3108053654432297,50.55,2.461864948272705,13.899999999999999,21.5,489.0
1.3102611601352692,51.0,2.461155652999878,12.75,22.0,489.0
1.3040429949760437,50.1,2.303262233734131,14.100000000000001,40.0,489.0
1.284807063639164,52.2,2.7657663822174072,20.95,21.0,489.0
1.2919344156980515,50.85,3.9113829135894775,10.75,33.0,489.0
1.2971866428852081,50.9,3.9847564697265625,8.649999999999999,29.0,489.0
