config,lr,wd,test_acc,total_time
LR=0.001,0.001,0.0005,40.12,215.08799958229065
LR=0.01,0.01,0.0005,57.199999999999996,277.28177213668823
LR=0.1,0.1,0.0005,58.18,216.91141271591187
LR=0.5,0.5,0.0005,55.42,216.0100588798523
WD=0,0.1,0.0,62.22,212.7855007648468
WD=0.0005,0.1,0.0005,57.9,211.85175728797913
WD=0.01,0.1,0.01,54.98,225.94977140426636
