K,Feature_Time,KMeans_Time,SVM_Train_Time,Total_Time,Train_Accuracy,Test_Accuracy,Confusion_Matrix,CPU_Usage,RAM_Usage
50,77.78532767295837,3.6137189865112305,0.03290748596191406,4.547802209854126,0.892,0.75,"[[32 14]
 [ 6 28]]",25.2,65.5
150,77.78532767295837,5.928262233734131,0.04471921920776367,7.119007587432861,0.97,0.8125,"[[39  7]
 [ 8 26]]",20.3,65.5
300,77.78532767295837,10.988466501235962,0.07828259468078613,12.935366868972778,0.974,0.775,"[[37  9]
 [ 9 25]]",20.5,65.5
500,77.78532767295837,16.567720890045166,0.10030174255371094,19.04078769683838,0.988,0.8125,"[[38  8]
 [ 7 27]]",17.4,65.6
800,77.78532767295837,26.087639570236206,0.17884206771850586,29.626543045043945,0.992,0.8,"[[35 11]
 [ 5 29]]",16.9,65.6
1000,77.78532767295837,31.538868188858032,0.1883411407470703,35.934831857681274,0.998,0.8,"[[36 10]
 [ 6 28]]",17.4,65.7
1300,77.78532767295837,39.78065037727356,0.22771072387695312,45.75583791732788,1.0,0.775,"[[34 12]
 [ 6 28]]",17.1,67.0
