K,train_time,test_time,train_acc,test_acc,top1_acc,top3_acc,top5_acc,cpu_usage,gpu_usage,ram_usage,inference_time,total_time
300,94.921875,50.630475759506226,0.8785,0.86,0.86,1.0,1.0,22.759999999999998,0.0,43.12,408.70417833328247,195.7035677433014
500,130.90625,62.04230570793152,0.903,0.862,0.862,1.0,1.0,19.56,0.0,45.96,421.54879331588745,195.7035677433014
